utime Server CPU Memory Users
1447718400 nyc-bc-rp-01 1 24 0
1447718400 nyc-bc-rp-02 0 16 0
1447718400 nyc-bc-sg-01 12 21 1874
1447718400 nyc-bc-sg-02 23 22 1853
1447718400 nyc-bc-sg-03 14 22 1706
1447718400 syd-bc-ce-01 19 66 472
1447718400 syd-bc-ce-02 2 51 85
1447718460 chn-bc-ce-01 2 41 1
1447718460 chn-bc-ce-02 2 40 1
1447718460 chn-bc-ce-03 2 30 77
1447718460 chn-bc-sg-01 5 22 551
1447718460 chn-bc-sg-02 7 22 542
1447718460 lon-bc-sg-01 9 21 1827
1447718460 lon-bc-sg-02 9 20 1580
1447718460 tok-bc-ce-01 2 35 344
1447718460 tok-bc-ce-02 3 26 282
1447718460 tok-bc-sg-01 25 25 1923
1447718460 snd-bc-sg-01 6 24 400
1447718460 snd-bc-sg-02 8 23 367
1447718460 bos-bc-ce-03 1 17 0
1447718460 bos-bc-ce-04 2 24 0
1447718460 bos-bc-drp-01 24 55 11332
1447718460 bos-bc-drp-02 25 55 11342
1447718460 bos-bc-rp-01 4 16 71
1447718460 bos-bc-sg-01 14 23 1649
1447718460 bos-bc-sg-02 14 20 1621
1447718460 bos-bc-sg-03 12 20 1484
1447718460 sng-bc-ce-01 1 25 224
1447718460 sng-bc-ce-02 2 26 78
1447718460 sng-bc-sg-01 4 19 198
1447718460 sng-bc-sg-02 9 24 1763
1447718460 kor-bc-ce-01 8 58 148
1447718460 kor-bc-ce-02 4 45 44
1447718460 nyc-bc-ce-05 2 15 1
1447718460 nyc-bc-ce-06 1 30 0
1447718460 nyc-bc-drp-01 1 20 0
1447718460 nyc-bc-drp-02 1 20 1
1447718460 nyc-bc-rp-01 4 24 0
1447718460 nyc-bc-rp-02 2 16 0
1447718460 nyc-bc-sg-01 12 21 1940
1447718460 nyc-bc-sg-02 23 22 1884
1447718460 nyc-bc-sg-03 14 22 1739
1447718460 syd-bc-ce-01 19 66 471
1447718460 syd-bc-ce-02 4 51 84
1447718520 chn-bc-ce-01 0 41 1
1447718520 chn-bc-ce-02 1 40 1
1447718520 chn-bc-ce-03 0 30 95
1447718520 chn-bc-sg-01 5 22 579
1447718520 chn-bc-sg-02 7 22 564
1447718520 lon-bc-sg-01 9 21 1844
1447718520 lon-bc-sg-02 9 20 1594
1447718520 tok-bc-ce-01 1 35 359
1447718520 tok-bc-ce-02 2 26 265
1447718520 tok-bc-sg-01 25 25 1976
1447718520 snd-bc-sg-01 6 24 413
1447718520 snd-bc-sg-02 8 23 369
1447718520 bos-bc-ce-03 1 17 0
1447718520 bos-bc-ce-04 1 24 0
1447718520 bos-bc-drp-01 26 55 11455
1447718520 bos-bc-drp-02 24 55 11368
1447718520 bos-bc-rp-01 2 16 71
1447718520 bos-bc-sg-01 12 23 1636
1447718520 bos-bc-sg-02 15 20 1609
1447718520 bos-bc-sg-03 12 20 1469
1447718520 sng-bc-ce-01 1 25 235
1447718520 sng-bc-ce-02 1 26 76
1447718520 sng-bc-sg-01 2 19 206
1447718520 sng-bc-sg-02 10 24 1787
1447718520 kor-bc-ce-01 9 58 141
1447718520 kor-bc-ce-02 1 45 44
1447718520 nyc-bc-ce-05 1 15 2
1447718520 nyc-bc-ce-06 0 30 0
1447718520 nyc-bc-drp-01 0 20 0
1447718520 nyc-bc-drp-02 0 20 1
1447718520 nyc-bc-rp-01 0 24 0
